name,pokedex id,height,weight,type,secundary type,hp,attack,defense,sp atk,sp def,speed
bulbasaur,1,7,69,grass,poison,45,49,49,65,65,45
ivysaur,2,10,130,grass,poison,60,62,63,80,80,60
venusaur,3,20,1000,grass,poison,80,82,83,100,100,80
charmander,4,6,85,fire,None,39,52,43,60,50,65
charmeleon,5,11,190,fire,None,58,64,58,80,65,80
charizard,6,17,905,fire,flying,78,84,78,109,85,100
squirtle,7,5,90,water,None,44,48,65,50,64,43
wartortle,8,10,225,water,None,59,63,80,65,80,58
blastoise,9,16,855,water,None,79,83,100,85,105,78
caterpie,10,3,29,bug,None,45,30,35,20,20,45
metapod,11,7,99,bug,None,50,20,55,25,25,30
butterfree,12,11,320,bug,flying,60,45,50,90,80,70
weedle,13,3,32,bug,poison,40,35,30,20,20,50
kakuna,14,6,100,bug,poison,45,25,50,25,25,35
beedrill,15,10,295,bug,poison,65,90,40,45,80,75
pidgey,16,3,18,normal,flying,40,45,40,35,35,56
pidgeotto,17,11,300,normal,flying,63,60,55,50,50,71
pidgeot,18,15,395,normal,flying,83,80,75,70,70,101
rattata,19,3,35,normal,None,30,56,35,25,35,72
raticate,20,7,185,normal,None,55,81,60,50,70,97
spearow,21,3,20,normal,flying,40,60,30,31,31,70
fearow,22,12,380,normal,flying,65,90,65,61,61,100
ekans,23,20,69,poison,None,35,60,44,40,54,55
arbok,24,35,650,poison,None,60,95,69,65,79,80
pikachu,25,4,60,electric,None,35,55,40,50,50,90
raichu,26,8,300,electric,None,60,90,55,90,80,110
sandshrew,27,6,120,ground,None,50,75,85,20,30,40
sandslash,28,10,295,ground,None,75,100,110,45,55,65
nidoran-f,29,4,70,poison,None,55,47,52,40,40,41
nidorina,30,8,200,poison,None,70,62,67,55,55,56
nidoqueen,31,13,600,poison,ground,90,92,87,75,85,76
nidoran-m,32,5,90,poison,None,46,57,40,40,40,50
nidorino,33,9,195,poison,None,61,72,57,55,55,65
nidoking,34,14,620,poison,ground,81,102,77,85,75,85
clefairy,35,6,75,fairy,None,70,45,48,60,65,35
clefable,36,13,400,fairy,None,95,70,73,95,90,60
vulpix,37,6,99,fire,None,38,41,40,50,65,65
ninetales,38,11,199,fire,None,73,76,75,81,100,100
jigglypuff,39,5,55,normal,fairy,115,45,20,45,25,20
wigglytuff,40,10,120,normal,fairy,140,70,45,85,50,45
zubat,41,8,75,poison,flying,40,45,35,30,40,55
golbat,42,16,550,poison,flying,75,80,70,65,75,90
oddish,43,5,54,grass,poison,45,50,55,75,65,30
gloom,44,8,86,grass,poison,60,65,70,85,75,40
vileplume,45,12,186,grass,poison,75,80,85,110,90,50
paras,46,3,54,bug,grass,35,70,55,45,55,25
parasect,47,10,295,bug,grass,60,95,80,60,80,30
venonat,48,10,300,bug,poison,60,55,50,40,55,45
